775 , 228
731 , 264
715 , 273
689 , 291
683 , 307
677 , 342
677 , 354
678 , 367
686 , 376
692 , 386
702 , 400
705 , 410
719 , 425
728 , 437
738 , 450
741 , 458
750 , 482
750 , 502
735 , 534
703 , 548
666 , 560
615 , 568
586 , 570
512 , 570
456 , 553
420 , 548
382 , 542
353 , 521
334 , 502
310 , 485
285 , 478
246 , 475
214 , 476
175 , 478
140 , 476
115 , 476
88 , 468
53 , 438
30 , 389
18 , 342
18 , 344
15 , 290
11 , 216
11 , 148
15 , 102
29 , 74
57 , 52
98 , 38
127 , 30
151 , 25
175 , 21
193 , 20
215 , 24
230 , 29
265 , 44
297 , 52
340 , 54
374 , 60
402 , 58
427 , 51
453 , 41
473 , 29
491 , 26
515 , 22
542 , 18
564 , 17
611 , 17
651 , 21
686 , 34
739 , 57
760 , 85
777 , 110
790 , 162
786 , 197
781 , 219
