665 , 129
673 , 154
676 , 170
668 , 187
655 , 205
641 , 211
615 , 228
589 , 246
572 , 283
563 , 320
563 , 352
564 , 360
572 , 385
576 , 395
597 , 419
612 , 434
626 , 456
626 , 464
626 , 478
617 , 492
591 , 498
565 , 499
523 , 495
468 , 487
417 , 453
393 , 433
367 , 402
346 , 401
345 , 400
315 , 388
269 , 385
187 , 385
157 , 375
120 , 338
101 , 281
98 , 251
97 , 209
109 , 150
131 , 139
169 , 125
197 , 116
206 , 111
217 , 110
227 , 110
253 , 116
285 , 130
343 , 143
382 , 143
432 , 124
454 , 114
478 , 111
504 , 110
544 , 107
574 , 107
583 , 106
619 , 112
636 , 118
658 , 127
